Campaign ID,Creative Size,Creative Messaging,Location,City,State,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost,CPA,CVR,CPC,CPM,CTR,Viewability,vCPM
624,300x250,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,weather.com,Magnite DV+,Smartphone,1109184,3142,83035,782482,25,7490.861,$299.63,0.80%,$2.38,$6.75,0.28%,7.49%,$90.21
625,320x50,10% Discount - Ends 6/1,"San Francisco, California",San Francisco,California,weather.com,PubMatic,Smartphone,686858,2085,81956,624118,19,7467.081,$393.00,0.91%,$3.58,$10.87,0.30%,11.93%,$91.11
626,300x50,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,weather.com,BidSwitch,Smartphone,40929,142,9249,31564,8,6764.521,$845.57,5.63%,$47.64,$165.27,0.35%,22.60%,$731.38
627,320x50,Sign up Today - 10% Off,"Nashville, Tennessee",Nashville,Tennessee,weather.com,Google Ad Manager,Smartphone,39844,99,11077,30190,9,6367.87,$707.54,9.09%,$64.32,$159.82,0.25%,27.80%,$574.87
628,320x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",Tampa,Florida,weather.com,Google Ad Manager,Smartphone,210700,704,94625,180681,3,6341.879,"$2,113.96",0.43%,$9.01,$30.10,0.33%,44.91%,$67.02
629,320x50,Sign up Today - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,weather.com,PubMatic,Smartphone,42884,104,4345,25153,9,6322.153,$702.46,8.65%,$60.79,$147.42,0.24%,10.13%,"$1,455.04"
630,300x250,Sign up Today - 10% Off,"New York City, New York",New York City,New York,weather.com,Smart RTB+ (Smartadserver),Windows PC,96779,299,9831,63640,12,6317.511,$526.46,4.01%,$21.13,$65.28,0.31%,10.16%,$642.61
631,300x250,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,weather.com,Google Ad Manager,Smartphone,182114,500,14477,139167,29,6307.901,$217.51,5.80%,$12.62,$34.64,0.27%,7.95%,$435.72
632,300x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,weather.com,Google Ad Manager,Smartphone,207823,600,33602,167814,13,6048.956,$465.30,2.17%,$10.08,$29.11,0.29%,16.17%,$180.02
633,300x50,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,weather.com,Google Ad Manager,Smartphone,257862,700,105048,238629,21,5899.429,$280.93,3.00%,$8.43,$22.88,0.27%,40.74%,$56.16
634,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,weather.com,PubMatic,Windows PC,26439,95,7093,19681,7,5330.782,$761.54,7.37%,$56.11,$201.63,0.36%,26.83%,$751.56
635,320x50,10% Discount - Ends 6/1,"Lansing, Michigan",Lansing,Michigan,weather.com,Google Ad Manager,Smartphone,96508,351,47065,73640,15,5310.77,$354.05,4.27%,$15.13,$55.03,0.36%,48.77%,$112.84
636,300x250,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,weather.com,Google Ad Manager,Smartphone,198163,469,76695,183585,31,5204.314,$167.88,6.61%,$11.10,$26.26,0.24%,38.70%,$67.86
637,320x50,Sign up Now - 10% Off,"Charleston, South Carolina",Charleston,South Carolina,weather.com,Google Ad Manager,Smartphone,156427,512,61821,145505,3,5159.747,"$1,719.92",0.59%,$10.08,$32.99,0.33%,39.52%,$83.46
638,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",Nashville,Tennessee,weather.com,Magnite DV+,Smartphone,61574,280,18717,46367,8,4999.665,$624.96,2.86%,$17.86,$81.20,0.45%,30.40%,$267.12
639,300x250,Sign up Now - 10% Off,"San Francisco, California",San Francisco,California,weather.com,Google Ad Manager,Apple PC,29856,111,7664,21698,9,4851.394,$539.04,8.11%,$43.71,$162.49,0.37%,25.67%,$633.01
640,300x250,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,weather.com,Google Ad Manager,Smartphone,100991,286,56138,88836,9,4652.368,$516.93,3.15%,$16.27,$46.07,0.28%,55.59%,$82.87
641,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,weather.com,Google Ad Manager,Smartphone,43327,140,4689,31363,14,4554.877,$325.35,10.00%,$32.53,$105.13,0.32%,10.82%,$971.40
642,320x50,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,weather.com,Google Ad Manager,Smartphone,212009,555,16903,149653,15,3983.622,$265.57,2.70%,$7.18,$18.79,0.26%,7.97%,$235.68
643,300x250,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",Tampa,Florida,weather.com,Google Ad Manager,Apple PC,45668,130,16872,32085,9,3444.203,$382.69,6.92%,$26.49,$75.42,0.28%,36.94%,$204.14
644,320x50,10% Discount - Ends 6/1,"New York City, New York",New York City,New York,weather.com,Google Ad Manager,Smartphone,654902,1874,40733,477114,14,3178.61,$227.04,0.75%,$1.70,$4.85,0.29%,6.22%,$78.04
645,320x50,Sign up Today - 10% Off,"South Bend-Elkhart, Indiana",South Bend,Indiana,weather.com,PubMatic,Smartphone,239164,699,86250,198209,41,2819.935,$68.78,5.87%,$4.03,$11.79,0.29%,36.06%,$32.69
646,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,weather.com,Magnite DV+,Smartphone,564387,1984,78234,438695,6,2712.38,$452.06,0.30%,$1.37,$4.81,0.35%,13.86%,$34.67
647,320x50,10% Discount - Ends 6/1,"New York City, New York",New York City,New York,weather.com,Google Ad Manager,Smartphone,12512,69,6240,9672,1,2298.889,"$2,298.89",1.45%,$33.32,$183.73,0.55%,49.87%,$368.41
648,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",Los Angeles,California,weather.com,Google Ad Manager,Smartphone,68008,204,2996,49686,9,1923.808,$213.76,4.41%,$9.43,$28.29,0.30%,4.41%,$642.13
649,320x50,Sign up Today - 10% Off,"New York City, New York",New York City,New York,weather.com,PubMatic,Smartphone,61848,213,6581,44917,15,1819.894,$121.33,7.04%,$8.54,$29.43,0.34%,10.64%,$276.54
650,300x250,Sign up Now - 10% Off,"New York City, New York",New York City,New York,weather.com,Magnite DV+,Smartphone,232635,666,34008,195803,39,1773.992,$45.49,5.86%,$2.66,$7.63,0.29%,14.62%,$52.16
651,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,weather.com,PubMatic,Smartphone,180353,471,67637,145416,8,1720.882,$215.11,1.70%,$3.65,$9.54,0.26%,37.50%,$25.44
652,320x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,weather.com,Google Ad Manager,Smartphone,78433,204,24067,58308,16,1612.549,$100.78,7.84%,$7.90,$20.56,0.26%,30.68%,$67.00
653,320x50,Sign up Today - 10% Off,"Chicago, Illinois",Chicago,Illinois,weather.com,Index Exchange,Smartphone,194833,499,29091,143813,4,1586.315,$396.58,0.80%,$3.18,$8.14,0.26%,14.93%,$54.53
654,300x250,Sign up Now - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,weather.com,Index Exchange,Smartphone,197192,519,80623,181763,5,1584.732,$316.95,0.96%,$3.05,$8.04,0.26%,40.89%,$19.66
655,300x250,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",Miami,Florida,weather.com,PubMatic,Smartphone,40519,111,6105,26283,10,1582.411,$158.24,9.01%,$14.26,$39.05,0.27%,15.07%,$259.20
656,320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",Knoxville,Tennessee,weather.com,Google Ad Manager,Smartphone,254780,699,19169,182583,4,1561.022,$390.26,0.57%,$2.23,$6.13,0.27%,7.52%,$81.43
657,320x50,Sign up Now - 10% Off,"Cincinnati, Ohio",Cincinnati,Ohio,weather.com,Google Ad Manager,Smartphone,36543,147,18046,27358,6,1513.089,$252.18,4.08%,$10.29,$41.41,0.40%,49.38%,$83.85
658,320x50,Sign up Today - 10% Off,"San Francisco, California",San Francisco,California,weather.com,Google Ad Manager,Smartphone,292885,796,12733,203986,4,1503.913,$375.98,0.50%,$1.89,$5.13,0.27%,4.35%,$118.11
659,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",Miami,Florida,weather.com,Smart RTB+ (Smartadserver),Smartphone,253577,890,66972,191183,44,1493.074,$33.93,4.94%,$1.68,$5.89,0.35%,26.41%,$22.29
660,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",Chicago,Illinois,weather.com,Sharethrough,Smartphone,12280,90,7633,11053,5,1452.207,$290.44,5.56%,$16.14,$118.26,0.73%,62.16%,$190.25
661,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",Miami,Florida,webmd.com,Yahoo Exchange,Smartphone,14599,33,1779,12458,4,5092.559,"$1,273.14",12.12%,$154.32,$348.83,0.23%,12.19%,"$2,862.60"
662,300x250,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,webmd.com,Google Ad Manager,Windows PC,16175,35,1923,15085,2,1649.069,$824.53,5.71%,$47.12,$101.95,0.22%,11.89%,$857.55
663,320x50,Sign up Now - 10% Off,"Los Angeles, California",Los Angeles,California,whatismyipaddress.com,Google Ad Manager,Smartphone,42830,160,24499,34496,5,6261.576,"$1,252.32",3.13%,$39.13,$146.20,0.37%,57.20%,$255.58
664,320x50,Sign up Now - 10% Off,"Chicago, Illinois",Chicago,Illinois,whatismyipaddress.com,Google Ad Manager,Smartphone,12209,147,3976,5219,4,3818.955,$954.74,2.72%,$25.98,$312.80,1.20%,32.57%,$960.50
665,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",Chicago,Illinois,whatismyipaddress.com,Google Ad Manager,Apple PC,7447,10,4163,5586,19,3311.941,$174.31,190.00%,$331.19,$444.73,0.13%,55.90%,$795.57
666,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",Jacksonville,Florida,whatismyipaddress.com,Magnite DV+,Smartphone,8545,20,3454,5510,2,2181.248,"$1,090.62",10.00%,$109.06,$255.27,0.23%,40.42%,$631.51
667,300x250,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",Miami,Florida,whatismyipaddress.com,BidSwitch,Smartphone,12319,40,7028,10191,7,1668.016,$238.29,17.50%,$41.70,$135.40,0.32%,57.05%,$237.34
668,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",Grand Rapids,Michigan,whatismyipaddress.com,Index Exchange,Smartphone,31359,66,18348,25950,24,1623.615,$67.65,36.36%,$24.60,$51.78,0.21%,58.51%,$88.49
669,320x50,Subscribe Today - 10% Discount,"San Francisco, California",San Francisco,California,whatismyipaddress.com,Magnite DV+,Smartphone,15311,10,7757,12630,19,1471.187,$77.43,190.00%,$147.12,$96.09,0.07%,50.66%,$189.66
670,300x50,Sign up Today - 10% Off,"Nashville, Tennessee",Nashville,Tennessee,wikihow.com,Magnite DV+,Smartphone,23488,75,4620,22254,9,6667.728,$740.86,12.00%,$88.90,$283.88,0.32%,19.67%,"$1,443.23"
671,300x50,Subscribe Today - 10% Discount,"New York City, New York",New York City,New York,wikihow.com,PubMatic,Smartphone,11789,20,6187,10028,3,6505.526,"$2,168.51",15.00%,$325.28,$551.83,0.17%,52.48%,"$1,051.48"
672,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",Nashville,Tennessee,wikihow.com,Google Ad Manager,Windows PC,16142,30,7064,15433,5,2209.651,$441.93,16.67%,$73.66,$136.89,0.19%,43.76%,$312.80
